NOC,Duration,Years_Waiting,First_Year,Probability
MON,27.0,108.0,1920.0,1.0
MYA,20.0,80.0,1948.0,0.9999999999998893
MLT,25.0,100.0,1928.0,0.9999999999925059
MLI,16.0,64.0,1964.0,0.9823325452779016
LIE,23.0,92.0,1936.0,0.981482581849195
BOL,23.0,92.0,1936.0,0.9673497366161432
LBR,18.0,72.0,1956.0,0.9645042448782373
NEP,16.0,64.0,1964.0,0.932985883463297
CGO,16.0,64.0,1964.0,0.9296263584184733
HON,15.0,60.0,1968.0,0.9046264805518656
ANG,12.0,48.0,1980.0,0.879375751670676
MAD,16.0,64.0,1964.0,0.8272056491206479
NCA,15.0,60.0,1968.0,0.8136013258090298
CHA,16.0,64.0,1964.0,0.7470542796110975
SLE,15.0,60.0,1968.0,0.735106924703572
LES,14.0,56.0,1972.0,0.7236932397351697
COD,15.0,60.0,1968.0,0.6511717911657282
ANT,13.0,52.0,1976.0,0.6431456901681117
MAW,14.0,56.0,1972.0,0.6300585063659367
BEN,14.0,56.0,1972.0,0.5884215445422802
GUI,15.0,60.0,1968.0,0.5772410757020567
CAF,15.0,60.0,1968.0,0.4917868603261798
AND,13.0,52.0,1976.0,0.485128804356571
PNG,13.0,52.0,1976.0,0.4403741530712414
ESA,24.0,96.0,1932.0,0.40142953539742254
SWZ,14.0,56.0,1972.0,0.40047790549867657
LAO,12.0,48.0,1980.0,0.37470982779746453
CAY,13.0,52.0,1976.0,0.36795363296485006
RWA,11.0,44.0,1984.0,0.3647372119896761
VIN,10.0,40.0,1988.0,0.3633428109227741
LBA,15.0,60.0,1968.0,0.3491213343252496
CAM,18.0,72.0,1956.0,0.3286201944775653
GAM,11.0,44.0,1984.0,0.32131234238766115
IVB,11.0,44.0,1984.0,0.2988645135259991
GEQ,11.0,44.0,1984.0,0.2904766396263826
OMA,11.0,44.0,1984.0,0.2728159541070566
MDV,10.0,40.0,1988.0,0.25077689250848045
BAN,11.0,44.0,1984.0,0.24767701706796785
BIZ,15.0,60.0,1968.0,0.2461448430569051
BHU,11.0,44.0,1984.0,0.2375039396393942
SEY,12.0,48.0,1980.0,0.21020931267064547
VAN,10.0,40.0,1988.0,0.1960482718976193
MTN,11.0,44.0,1984.0,0.18864122944329675
SOL,11.0,44.0,1984.0,0.1712877250068795
BIH,9.0,36.0,1992.0,0.1710916649627574
GUM,10.0,40.0,1988.0,0.1484739947051925
SKN,8.0,32.0,1996.0,0.13832313653457817
YEM,9.0,36.0,1992.0,0.13720855037448443
COM,8.0,32.0,1996.0,0.13662140179923266
ARU,10.0,40.0,1988.0,0.1305547641394963
BRU,8.0,32.0,1996.0,0.12901052220058196
PLW,7.0,28.0,2000.0,0.12898980642900715
FSM,7.0,28.0,2000.0,0.12848067247536887
ASA,10.0,40.0,1988.0,0.12367416136106135
GBS,8.0,32.0,1996.0,0.12181408514224534
SOM,14.0,56.0,1972.0,0.11900935744449692
STP,8.0,32.0,1996.0,0.11629776538839054
TLS,6.0,24.0,2004.0,0.11241262403011254
COK,10.0,40.0,1988.0,0.11081383358431318
MHL,5.0,20.0,2008.0,0.10710296156590293
PLE,8.0,32.0,1996.0,0.10503223732388423
AIN,1.0,4.0,2024.0,0.10460971014950793
KIR,6.0,24.0,2004.0,0.0981312120810438
SSD,3.0,12.0,2016.0,0.09275335252391548
TUV,5.0,20.0,2008.0,0.08961106256304896
EOR,2.0,8.0,2020.0,0.05670472486194311
NRU,8.0,32.0,1996.0,0.026812132519483556
