,NOC,Year,duration,event,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,last_HHI,last_athletes_count,last_unique_events,last_unique_sports,last_female_ratio,last_veteran_ratio,athlete_growth_rate,event_growth_rate,historical_events_per_athlete,athlete_per_event
0,CHN,1932,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,CHN,1936,1,0,1,1,2,1,1.0,2.0,0.5,1,2,1,0.0,0.0,0.0,0.0,2.0,0.5
2,CHN,1948,4,0,2,54,27,7,27.0,13.5,0.08970414201183434,54,27,7,0.046153846153846156,0.018518518518518517,53.0,12.5,1.2037037037037037,2.0
3,CHN,1952,5,0,3,84,33,8,28.0,11.0,0.21946740128558306,31,12,6,0.030303030303030304,0.03225806451612903,26.287037037037038,5.972222222222222,1.1547619047619047,2.5833333333333335
4,CHN,1984,13,1,4,84,34,8,21.0,8.5,1.0,1,1,1,0.0,1.0,17.2021107128634,3.675925925925926,1.1666666666666667,1.0
6,NED,1900,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,NOR,1900,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,ROU,1900,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,ROU,1924,6,1,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
11,EST,1920,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,FRA,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,MAR,1960,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,ESP,1900,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,IRI,1900,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,IRI,1948,12,1,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
18,BUL,1924,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,BUL,1928,1,0,1,24,12,4,24.0,12.0,0.17793964620187303,24,12,4,0.0,0.0,0.0,0.0,1.2916666666666667,2.0
20,BUL,1932,2,0,2,27,15,5,13.5,7.5,0.24000000000000002,5,5,2,0.0,0.4,-0.7916666666666666,-0.5833333333333333,1.4074074074074074,1.0
21,BUL,1936,3,0,3,29,16,6,9.666666666666666,5.333333333333333,1.0,2,1,1,0.0,0.0,-0.6958333333333333,-0.6916666666666667,1.3793103448275863,2.0
22,BUL,1952,7,1,4,53,31,8,13.25,7.75,0.06574394463667818,26,22,7,0.0,0.07692307692307693,3.5361111111111114,6.538888888888889,2.2641509433962264,1.1818181818181819
23,ITA,1896,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,ITA,1900,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
39,AZE,1996,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,SUD,1960,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,SUD,1968,2,0,1,10,10,4,10.0,10.0,0.1124260355029586,10,10,4,0.0,0.0,0.0,0.0,1.3,1.0
42,SUD,1972,3,0,2,14,15,4,7.0,7.5,0.14285714285714285,5,7,2,0.0,0.2,-0.5,-0.30000000000000004,1.4285714285714286,0.7142857142857143
43,SUD,1984,6,0,3,38,23,5,12.666666666666666,7.666666666666667,0.23413111342351708,26,15,4,0.0,0.07692307692307693,1.85,0.4214285714285714,1.2894736842105263,1.7333333333333334
44,SUD,1988,7,0,4,45,25,5,11.25,6.25,0.1111111111111111,7,9,2,0.0,0.0,0.9897435897435898,0.14761904761904757,1.288888888888889,0.7777777777777778
45,SUD,1992,8,0,5,50,27,5,10.0,5.4,0.125,8,8,2,0.0,0.375,0.778021978021978,0.08293650793650789,1.28,1.0
46,SUD,1996,9,0,6,56,30,6,9.333333333333334,5.0,0.14285714285714285,6,7,3,0.0,0.0,0.5724175824175824,0.041349206349206316,1.2678571428571428,0.8571428571428571
47,SUD,2000,10,0,7,60,31,7,8.571428571428571,4.428571428571429,0.25,4,4,2,0.0,0.0,0.42145909645909646,-0.03697089947089951,1.25,1.0
48,SUD,2004,11,0,8,62,33,8,7.75,4.125,0.3333333333333333,3,3,2,0.3333333333333333,0.3333333333333333,0.32553636839351124,-0.06740362811791387,1.2580645161290323,1.0
