,NOC,Year,duration,event,veteran_ratio,HHI,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,female_ratio,athlete_growth,athlete_growth_last,events_per_athlete
0,CHN,1932,0,0,0.0,0.5,1,1,2,1,1.0,2.0,0.0,0.0,0.0,2.0
1,CHN,1936,1,0,0.018518518518518517,0.08970414201183434,2,54,27,7,27.0,13.5,0.04477611940298507,53.0,53.0,1.2037037037037037
2,CHN,1948,4,0,0.03225806451612903,0.21946740128558306,3,84,33,8,28.0,11.0,0.04,30.0,-0.42592592592592593,1.1547619047619047
3,CHN,1952,5,0,1.0,1.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
4,CHN,1956,6,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
5,CHN,1960,7,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
6,CHN,1964,8,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
7,CHN,1968,9,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
8,CHN,1972,10,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
9,CHN,1976,11,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
10,CHN,1980,12,0,0.0,0.0,4,84,34,8,21.0,8.5,0.039603960396039604,0.0,-0.967741935483871,1.1666666666666667
11,CHN,1984,13,1,0.0,0.016994316057855438,5,299,123,22,59.8,24.6,0.29952830188679247,214.0,214.0,1.4080267558528428
12,DEN,1896,0,1,0.0,0.10222222222222224,1,3,12,5,3.0,12.0,0.0,0.0,0.0,5.0
13,NED,1900,0,1,0.0,0.07112028523175078,1,35,18,7,35.0,18.0,0.0,0.0,0.0,2.0
14,FIN,1906,0,0,0.0,0.1111111111111111,1,4,11,2,4.0,11.0,0.0,0.0,0.0,4.5
15,FIN,1908,0,1,0.03225806451612903,0.115663196016297,2,64,28,6,32.0,14.0,0.0,14.5,14.5,1.6875
16,NOR,1900,0,1,0.0,0.15338882282996436,1,7,9,2,7.0,9.0,0.0,0.0,0.0,4.142857142857143
17,ROU,1900,0,0,0.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
18,ROU,1904,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
19,ROU,1906,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
20,ROU,1908,2,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
21,ROU,1912,3,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
22,ROU,1920,5,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
23,ROU,1924,6,1,0.0,0.22074074074074074,2,36,8,4,18.0,4.0,0.0,34.0,34.0,1.2777777777777777
24,EST,1920,0,1,0.0,0.055000000000000014,1,14,19,3,14.0,19.0,0.0,0.0,0.0,1.4285714285714286
25,FRA,1896,0,1,0.0,0.0650887573964497,1,12,18,6,12.0,18.0,0.0,0.0,0.0,2.1666666666666665
