feature,importance
metal_event_rate,2105
athletes_count,2007
rank_trend,1806
unique_events_last,1611
medals_per_athlete,1525
veteran_ratio,1513
gold_event_rate,1307
hhi_sport,1281
gold_per_athlete,1138
total_3_games_avg,1084
event_growth,1032
sport_growth,1022
total_std,1002
athletes_growth_rate,924
gold_event_avg,908
metal_event_avg,883
metal_growth_game_rate,877
gold_3_games_avg,869
metal_growth_noc_rate,836
best_rank_last_3,825
metal_num,769
gold_std,768
unique_sports_last,757
gold_num,520
star_athlete_num,477
participation_times,431
gold_growth_noc_rate,411
best_total,328
best_gold,254
ishost,212
consistent_sports,203
gold_growth_game_rate,135
years_since_last_medal,104
dominant_sport,39
is_host_history,0
ishost_hostrate_gold,0
ishost_hostrate_metal,0
