gold_3_games_avg,total_3_games_avg,gold_std,total_std,gold_growth_noc_rate,metal_growth_noc_rate,gold_growth_game_rate,metal_growth_game_rate,gold_num,metal_num,best_rank_last_3,rank_trend,participation_times,best_gold,best_total,athletes_count,veteran_ratio,star_athlete_num,athletes_growth_rate,medals_per_athlete,gold_per_athlete,unique_sports_last,unique_events_last,event_growth,sport_growth,hhi_sport,dominant_sport,gold_event_rate,metal_event_rate,gold_event_avg,metal_event_avg,consistent_sports,years_since_last_medal,is_host_history,NOC_Code,Year,ishost,ishost_hostrate_gold,ishost_hostrate_metal
41.666666666666664,120.0,3.785938897200183,6.557438524302,0.02564102564102564,0.11504424778761062,0.19682091433908583,0.24039141898303346,40,126,1,1.0,29,83,231,619,0.37479806138933763,404,0.4716926059193736,0.6585823081429408,0.3182190978324546,47,234,0.1656310711373113,0.18259693170676564,0.10964192813812514,0,0.1581196581196581,0.41452991452991456,3.2294887039239,6.683709869203329,3,4,0,USA,2028,1,0,0
34.666666666666664,83.33333333333333,7.571877794400365,11.590225767142474,0.05263157894736842,0.02247191011235955,0.29195271833429726,0.15377758851089882,40,91,2,2.3333333333333335,11,48,100,396,0.4393939393939394,83,19.039452046330265,0.4263213160658033,0.1624081204060203,42,211,8.277239627367896,1.7094644475828003,0.057221858224066474,0,0.18009478672985782,0.36018957345971564,0.7412140575079872,1.9456869009584665,2,4,0,CHN,2028,0,0,0
19.666666666666668,48.0,7.505553499465135,8.888194417315589,-0.25925925925925924,-0.22413793103448276,inf,0.40666004517664567,20,45,3,4.0,23,27,58,430,0.4232558139534884,50,0.5833393266750599,0.26668339187155043,0.08153537380832915,41,166,0.26656423921350325,0.2544030370840653,0.08223499936723926,0,0.12048192771084337,0.26506024096385544,0.5319148936170213,1.739770867430442,6,4,0,JPN,2028,0,0,0
14.333333333333334,42.666666666666664,5.507570547286102,12.34233905438241,0.058823529411764705,0.15217391304347827,inf,0.6630210701936252,18,53,4,6.666666666666667,28,18,58,474,0.41983122362869196,123,0.436888129231848,0.3709177592371871,0.09797377830750893,44,205,0.19733232430243178,0.1577879337565604,0.1497454087667938,0,0.08780487804878048,0.22439024390243903,0.6274809160305344,2.3755725190839696,6,4,0,AUS,2028,0,0,0
12.0,46.333333333333336,3.4641016151377544,15.947831618540913,0.6,0.9393939393939394,inf,1.0487719712281374,16,64,5,6.666666666666667,30,27,103,601,0.3527454242928453,114,3.968225339300758,0.3233542838240159,0.09642739000992391,46,223,0.9847701737871853,0.44425014621026526,0.06646607492101698,0,0.05829596412556054,0.21973094170403587,0.7162162162162162,2.401719901719902,5,4,0,FRA,2028,0,0,0
11.0,29.666666666666668,3.605551275463989,9.291573243177568,0.5,-0.05555555555555555,inf,0.34785859892403115,15,34,6,8.0,27,15,36,288,0.4409722222222222,58,4.266146188917858,0.35822825735531844,0.11154219204655674,32,132,2.1762393656296886,0.6141721655593819,0.13120202270328035,0,0.10606060606060606,0.23484848484848486,0.6365313653136532,2.044280442804428,6,4,0,NED,2028,0,0,0
21.0,65.33333333333333,6.557438524302,1.5275252316519468,-0.36363636363636365,0.015625,2.5692844904873193,2.6296004173796077,14,65,2,4.333333333333333,30,56,146,343,0.4402332361516035,113,1.026229083025812,0.37781456953642384,0.1185430463576159,33,174,0.41598725120419916,0.16979828391273402,0.07903448932736556,0,0.07471264367816093,0.3620689655172414,0.9335071707953064,2.9752281616688396,7,4,0,GBR,2028,0,0,0
9.333333333333334,24.333333333333332,3.511884584284246,6.6583281184793925,1.1666666666666667,0.6,inf,0.4560988460291134,13,32,8,10.666666666666666,18,13,33,147,0.3401360544217687,29,0.33519428350063324,0.27169811320754716,0.08637316561844864,23,104,0.25477731073290044,0.185058888888466,0.08244741655235485,0,0.125,0.2403846153846154,0.4577777777777778,1.44,3,4,0,KOR,2028,0,0,0
10.0,36.0,2.0,6.928203230275509,0.2,0.0,0.2766268710713155,0.2001919350935531,12,40,9,9.333333333333334,28,14,40,397,0.4433249370277078,112,3.3258300211971217,0.3580357142857143,0.12745535714285713,39,205,1.801975161923637,0.47989118685606547,0.10145459294407373,0,0.05853658536585366,0.16585365853658537,0.8030942334739803,2.2559774964838257,9,4,0,ITA,2028,0,0,0
13.0,37.333333333333336,3.605551275463989,4.509249752822894,0.2,-0.10810810810810811,inf,0.30541481181315344,12,33,5,8.0,18,38,101,457,0.3413566739606127,104,0.3849605877567998,0.4311062431544359,0.13888280394304492,42,196,0.1429247436925945,0.11448894985220585,0.06593142722585763,0,0.05612244897959184,0.1377551020408163,0.8673050615595075,2.692202462380301,2,4,0,GER,2028,0,0,0
7.0,19.333333333333332,3.0,1.1547005383792515,0.42857142857142855,0.0,inf,0.2602069647524193,10,20,11,14.333333333333334,23,10,20,208,0.40384615384615385,16,1.6347717570883404,0.2262532981530343,0.09564643799472296,27,100,0.8992843391512478,0.4735894726188844,0.1462060875995546,0,0.1,0.2,0.3372093023255814,0.7976744186046512,12,4,0,NZL,2028,0,0,0
6.666666666666667,24.333333333333332,2.516611478423583,2.5166114784235836,0.2857142857142857,0.125,inf,0.4745584148361926,9,27,11,14.333333333333334,28,10,44,332,0.4126506024096386,39,1.5073063790576906,0.2209156867650738,0.05203902927195397,40,172,0.4479973342048463,0.5640137505700347,0.11705564654625114,0,0.05232558139534884,0.13953488372093023,0.3156297420333839,1.339908952959029,5,4,0,CAN,2028,0,0,0
5.0,10.333333333333334,2.6457513110645907,4.618802153517006,1.6666666666666667,1.6,inf,0.7311355311355311,8,13,13,22.0,8,8,13,88,0.23863636363636365,2,0.0458547089920056,0.12846347607052896,0.05037783375314862,17,68,0.006701641582373075,0.05246598639455783,0.26489811610918873,0,0.11764705882352941,0.19117647058823528,0.07782101167315175,0.19844357976653695,4,4,0,UZB,2028,0,0,0
6.666666666666667,18.0,1.1547005383792517,2.6457513110645907,0.0,-0.05,0.16622775372775375,0.11338335051747955,6,19,12,13.666666666666666,28,16,42,177,0.4124293785310734,109,0.4654395773938131,0.4384559359067735,0.1638747268754552,24,114,0.2029322786407474,0.12494006409698774,0.11525397070672509,0,0.05263157894736842,0.14035087719298245,0.8302583025830258,2.2214022140221403,8,4,0,HUN,2028,0,0,0
5.0,17.333333333333332,2.0,0.5773502691896258,0.6666666666666666,0.058823529411764705,inf,0.38913781780654844,5,18,14,17.0,21,13,22,400,0.37,15,1.5485715912541032,0.21383227530905446,0.05111927831607083,39,150,1.2709181561393061,0.7772429564465072,0.086337890625,0,0.03333333333333333,0.10666666666666667,0.2737030411449016,1.144901610017889,6,4,0,ESP,2028,0,0,0
3.0,10.333333333333334,1.0,1.1547005383792517,0.3333333333333333,0.2222222222222222,inf,1.0652911662241922,4,11,16,22.333333333333332,28,23,65,125,0.424,77,0.5759267427194306,0.39401156856073494,0.12419190200748553,21,81,0.17788036569321453,0.11830010390358697,0.07290277740491168,0,0.04938271604938271,0.13580246913580246,0.6709558823529411,2.1286764705882355,11,4,0,SWE,2028,0,0,0
4.666666666666667,11.333333333333334,1.1547005383792517,1.5275252316519468,0.0,0.1,inf,0.7742051751667135,4,11,15,17.0,14,6,16,74,0.24324324324324326,5,0.101694807244035,0.19598765432098766,0.06481481481481481,6,24,0.102645974326634,0.06253968253968253,0.8958397916795833,1,0.16666666666666666,0.4166666666666667,0.33070866141732286,1.0,1,4,0,KEN,2028,0,0,0
2.6666666666666665,6.666666666666667,2.3094010767585034,2.309401076758503,0.0,0.0,inf,0.27306195596518174,4,8,18,37.333333333333336,26,13,31,109,0.3853211009174312,26,0.7985369672581043,0.4121840570317563,0.16202203499675957,21,58,0.3257598700650751,0.21194846528354933,0.14169732209960048,0,0.06896551724137931,0.13793103448275862,0.6329113924050633,1.610126582278481,7,4,0,NOR,2028,0,0,0
2.0,4.333333333333333,2.0,2.516611478423583,1.0,0.75,inf,0.6809523809523809,4,7,19,40.333333333333336,15,4,7,143,0.3706293706293706,1,0.25858598929167187,0.05186721991701245,0.016597510373443983,17,75,0.18164216012589465,0.13770509793237068,0.2344,0,0.04,0.06666666666666667,0.04804804804804805,0.15015015015015015,9,4,0,IRL,2028,0,0,0
5.666666666666667,20.0,2.309401076758503,1.0,-0.5714285714285714,-0.047619047619047616,inf,0.4295978917882942,3,20,12,15.0,21,7,21,289,0.43944636678200694,18,1.002294459799097,0.2520050654284508,0.0599409033347404,38,146,0.2699295998339346,0.27469582511675433,0.17405003801811963,0,0.02054794520547945,0.11643835616438356,0.2751937984496124,1.1569767441860466,9,4,0,BRA,2028,0,0,0
3.0,9.0,0.0,2.6457513110645907,0.0,0.7142857142857143,inf,0.7736640810170221,3,12,21,24.0,18,7,13,41,0.3170731707317073,4,2.190381007252323,0.14846416382252559,0.040955631399317405,14,38,1.4077530669560392,0.4371750254103195,0.4609591755846215,1,0.07894736842105263,0.3157894736842105,0.12121212121212122,0.4393939393939394,7,4,0,IRI,2028,0,0,0
2.0,14.0,1.0,4.358898943540674,2.0,-0.3684210526315789,0.2127551020408163,-0.03457755059585722,3,12,22,32.333333333333336,8,9,23,141,0.41134751773049644,9,-0.0633478515813537,0.20601237842617154,0.04332449160035367,25,101,-0.04380846589812516,0.02855811889973384,0.06290408738418464,0,0.0297029702970297,0.10891089108910891,0.11238532110091744,0.5344036697247706,1,4,0,UKR,2028,0,0,0
1.6666666666666667,5.666666666666667,1.1547005383792517,2.8867513459481287,2.0,1.25,inf,0.3343462226057807,3,9,23,38.666666666666664,21,20,53,96,0.3020833333333333,52,3.8539801673793463,0.4065671641791045,0.1044776119402985,18,57,1.754324543752837,0.5131828316610926,0.15584967256841348,0,0.05263157894736842,0.15789473684210525,0.4861111111111111,1.8916666666666666,5,4,0,ROU,2028,0,0,0
2.3333333333333335,7.333333333333333,0.5773502691896258,0.5773502691896258,0.5,-0.125,inf,0.35119047619047616,3,7,24,31.666666666666668,8,3,8,28,0.5357142857142857,3,-0.019376917433640117,0.24736842105263157,0.06842105263157895,9,30,-0.03226229269233121,-0.04280719280719279,0.3454051607062019,0,0.1,0.23333333333333334,0.09848484848484848,0.3560606060606061,5,4,0,GEO,2028,0,0,0
