,NOC,duration,event,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,last_HHI,last_athletes_count,last_unique_events,last_unique_sports,last_female_ratio,last_veteran_ratio,athlete_per_event,athlete_growth_rate,event_growth_rate,historical_events_per_athlete
0,GAM,11,0,11,41,26,6,3.727272727272727,2.3636363636363638,0.125,7,8,4,0.5,0.14285714285714285,0.875,0.13722222222222222,0.10499999999999998,1.4146341463414633
1,COM,8,0,8,22,19,5,2.75,2.375,0.20000000000000004,4,5,3,0.2,0.0,0.8,0.0595238095238095,0.10714285714285714,1.0909090909090908
2,MAW,14,0,12,64,37,6,5.333333333333333,3.0833333333333335,0.3333333333333333,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.02083333333333333,-0.026559714795008908,1.234375
3,MTN,11,0,11,25,18,3,2.272727272727273,1.6363636363636365,0.5,2,2,2,0.5,0.0,1.0,0.11666666666666665,0.15238095238095237,1.24
4,SKN,8,0,8,23,11,2,2.875,1.375,0.3333333333333333,3,3,2,0.3333333333333333,0.0,1.0,0.07619047619047617,0.10476190476190475,1.565217391304348
5,CGO,16,0,14,78,39,7,5.571428571428571,2.7857142857142856,0.25,4,4,3,0.5,0.5,1.0,0.32143122577905187,0.16391941391941392,1.2307692307692308
6,MHL,5,0,5,16,13,4,3.2,2.6,0.25,4,4,3,0.5,0.25,1.0,0.11250000000000002,0.11250000000000002,1.125
7,OMA,11,0,11,47,30,7,4.2727272727272725,2.727272727272727,0.25,4,4,3,0.25,0.5,1.0,-0.0125,-0.026825396825396818,1.3404255319148937
8,LBA,15,0,12,78,51,11,6.5,4.25,0.16666666666666669,6,6,5,0.16666666666666666,0.0,1.0,2.5949992536199433,1.795887445887446,1.1666666666666667
9,CAY,13,0,12,45,42,5,3.75,3.5,0.20000000000000004,4,5,3,0.4,0.0,0.8,0.2727272727272727,0.5918470418470417,1.6666666666666667
10,AIN,1,0,1,32,30,10,32.0,30.0,0.042533081285444224,32,30,10,0.5434782608695652,0.0,1.0666666666666667,0.0,0.0,1.4375
11,VIN,10,0,10,34,20,2,3.4,2.0,0.25,4,4,2,0.5,0.25,1.0,0.01851851851851849,0.0037037037037036783,1.2058823529411764
12,KIR,6,0,6,15,10,3,2.5,1.6666666666666667,0.3333333333333333,3,3,3,0.3333333333333333,0.0,1.0,0.033333333333333326,0.033333333333333326,1.1333333333333333
13,ARU,10,0,10,38,37,12,3.8,3.7,0.14285714285714285,6,7,4,0.2857142857142857,0.16666666666666666,0.8571428571428571,0.15224867724867724,0.11481481481481483,1.263157894736842
14,STP,8,0,8,19,18,4,2.375,2.25,0.3333333333333333,3,3,3,0.6666666666666666,0.0,1.0,0.09523809523809523,0.14285714285714285,1.2105263157894737
15,TLS,6,0,6,13,10,4,2.1666666666666665,1.6666666666666667,0.25,4,4,3,0.5,0.25,1.0,0.26666666666666666,0.26666666666666666,1.0769230769230769
16,YEM,9,0,9,36,29,7,4.0,3.2222222222222223,0.25,4,4,4,0.25,0.0,1.0,0.022916666666666696,0.13541666666666663,1.1388888888888888
17,VAN,10,0,10,32,27,8,3.2,2.7,0.16666666666666669,6,6,5,0.6666666666666666,0.16666666666666666,1.0,0.14444444444444446,0.10740740740740741,1.21875
18,BHU,11,0,11,26,11,5,2.3636363636363638,1.0,0.3333333333333333,3,3,3,0.3333333333333333,0.3333333333333333,1.0,0.05833333333333333,0.125,1.3461538461538463
19,BAN,11,0,11,47,33,6,4.2727272727272725,3.0,0.20000000000000004,5,5,4,0.2,0.0,1.0,0.5,0.2947619047619047,1.3404255319148937
20,CAM,18,0,11,51,40,9,4.636363636363637,3.6363636363636362,0.3333333333333333,3,3,2,0.3333333333333333,0.0,1.0,0.45478632478632475,0.8557142857142856,1.2156862745098038
21,LES,14,0,13,56,27,5,4.3076923076923075,2.076923076923077,0.3333333333333333,3,3,2,0.6666666666666666,0.0,1.0,0.4319444444444444,0.24375,1.1607142857142858
22,SWZ,14,0,12,46,40,6,3.8333333333333335,3.3333333333333335,0.3333333333333333,3,3,2,0.3333333333333333,0.3333333333333333,1.0,0.265495867768595,0.12355371900826445,1.3695652173913044
23,MLI,16,0,15,102,43,7,6.8,2.8666666666666667,0.6354166666666669,24,6,5,0.08333333333333333,0.041666666666666664,4.0,0.645278111244498,0.15578231292517006,1.0588235294117647
24,FSM,7,0,7,22,16,5,3.142857142857143,2.2857142857142856,0.3333333333333333,3,3,2,0.3333333333333333,0.6666666666666666,1.0,-0.061111111111111116,-0.061111111111111116,1.1363636363636365
25,SEY,12,0,11,69,66,8,6.2727272727272725,6.0,0.3333333333333333,3,3,2,0.3333333333333333,0.3333333333333333,1.0,-0.07080808080808079,-0.08555555555555555,1.5217391304347827
